0,2.0,C,1,M,0
2.0,4.0,C,4,M,0
4.0,6.0,C,7,d,1
6.0,8.0,C,1,M,0
8.0,12.0,C,2,m,1
12.0,13.5,C,5,M,0
13.5,14.0,C,5,D7,0
14.0,16.0,C,5,D7,3
16.0,17.5,C,1,M,1
17.5,18.0,C,5,M,1
18.0,18.5,C,5,D7,1
18.5,19.5,f,5,D7,1
19.5,20.0,f,5/4,D7,1
20.0,20.5,C,4,m,0
20.5,21.0,f,1,m,0
21.0,21.5,f,4,m,0
21.5,22.0,f,1,m,0
22.0,22.5,D-,5,D7,0
22.5,24.0,D-,5,D7,3
24.0,26.0,D-,1,M,0
26.0,28.5,D-,4,M,0
28.5,29.5,D-,2,m,0
29.5,30.5,D-,5,D7,0
30.5,31.5,D-,5,D7,3
31.5,32.0,D-,5,D7,0
32.0,34.0,D-,1,M,0
34.0,35.0,f,1,M,0
35.0,35.5,f,1,m,0
35.5,36.0,f,1,M,0
36.0,36.5,f,4,M,0
36.5,38.0,f,2-,M,0
38.0,40.0,f,1,M,1
40.0,42.0,f,4,m,1
42.0,44.0,f,5,M,0
44.0,44.5,f,1,m,2
44.5,46.0,f,1,m,1
46.0,48.0,f,5,D7,2
48.0,50.0,f,1,m,0
50.0,51.5,C,5,D7,3
51.5,52.0,C,5,D7,0
52.0,53.0,C,1,M,0
53.0,54.0,F,1,M,0
54.0,56.0,F,1,M,1
56.0,57.0,F,1,M,0
57.0,57.5,F,4,M,0
57.5,58.0,F,1,M,0
58.0,59.0,C,7,d7,0
59.0,60.0,C,7/5,d7,0
60.0,63.0,F,1,M,0
63.0,64.0,F,5,M,0
