0,1.5,C,1,M,0
1.5,2.0,C,1,M,2
2.0,3.0,C,1,M,1
3.0,4.0,C,1,M,0
4.0,4.5,a,5,D7,1
4.5,5.5,a,5,D7,3
5.5,6.0,a,5,D7,1
6.0,8.0,a,1,m,0
8.0,9.0,F,5,D7,2
9.0,9.5,F,5,D7,3
9.5,10.0,F,5,D7,2
10.0,12.0,F,1,M,0
12.0,13.0,B-,5/4,D7,3
13.0,14.0,B-,1,M,1
14.0,14.5,B-,5,D7,2
14.5,16.0,B-,5,D7,3
16.0,16.5,B-,4,M,0
16.5,17.0,B-,1,M,0
17.0,17.5,a,7,M,0
17.5,18.0,a,5,D7,0
18.0,19.0,a,5,D7,1
19.0,20.0,F,2,m,0
20.0,21.0,F,5,D7,1
21.0,21.5,g,1,m,0
21.5,22.0,F,2,m,0
22.0,23.0,F,5,D7,1
23.0,24.0,F,1,M,0
